cuisiness_ID,primary_cuisiness,cuisines,special_diets,cus_rest_rank
1,Unknown,,,
2,Unknown,,,
3,Unknown,,,
4,Asian,"Asian, Korean",,659
5,Unknown,,,
6,Unknown,,,
7,Unknown,,,
8,Unknown,,,
9,Unknown,,,
10,Unknown,,,
11,Unknown,,,
12,Unknown,,,
13,Unknown,,,
14,Unknown,,,
15,Unknown,Cafe,,
16,Unknown,,,
17,Unknown,,,
18,Unknown,,,
19,French,"French, Mediterranean",,6631
20,Unknown,,,
21,Cafe,Cafe,Vegan Options,1063
22,Unknown,,,
23,Italian,"Italian, British, Mediterranean",,1429
24,French,"French, Fast Food",,
25,Unknown,,,
26,Italian,"Italian, Pizza",,
27,French,"French, European",,2703
28,Japanese,Japanese,,4627
29,Bakeries,,,49
30,Barbecue,"Asian, Barbecue",,332
31,Unknown,,,
32,Japanese,"Japanese, Steakhouse, International, Grill",,
33,Unknown,,,
34,Unknown,,,
35,Unknown,,,
36,Unknown,,,
37,Barbecue,"Barbecue, Asian, Korean",,
38,Unknown,,,
39,Unknown,,,
40,Unknown,"Barbecue, Asian, Mongolian",,
41,Unknown,,,
42,Unknown,Barbecue,,
43,Unknown,,,
44,Unknown,,,
45,Unknown,,,
46,Unknown,"Asian, Korean",,
47,Unknown,,,
48,Unknown,,,
49,Unknown,,,
50,Unknown,,,
51,Unknown,,,
52,Unknown,,,
53,Unknown,,,
54,Brazilian,"Brazilian, International, Sushi, South American",,1803
55,Brazilian,Brazilian,Vegetarian Friendly,
56,International,"Asian, Vietnamese, Healthy, International","Vegetarian Friendly, Vegan Options",
57,Unknown,,,
58,Unknown,,,
59,Bar,"Bar, Pub",,1362
60,Japanese,"Japanese, Sushi, Seafood",,757
61,Unknown,,,
62,Unknown,,,
63,Lebanese,"Lebanese, Middle Eastern, Mediterranean, South American",,190
64,Lebanese,"Lebanese, Middle Eastern, Mediterranean",,167
65,Unknown,,,
66,Unknown,"Asian, Korean",,
67,Unknown,,,
68,Unknown,,,
69,Unknown,"Brew Pub, Pub",,
70,Unknown,,,
71,Unknown,Italian,,
72,Unknown,,,
73,Unknown,,,
74,Unknown,,,
75,Unknown,Cafe,,
76,Unknown,"Asian, Korean",,
77,Unknown,,,
78,Asian,"Asian, Thai, Korean",,3549
79,Unknown,,,
80,Unknown,,,
81,Unknown,Steakhouse,,
82,Unknown,,,
83,Unknown,,,
84,Unknown,,,
85,Unknown,,,
86,Asian,"Asian, Korean",,
87,Brazilian,"Brazilian, South American",,2327
88,Asian,"Asian, Korean",,2508
89,Unknown,Cafe,,
90,American,"American, Fast Food",,79
91,Japanese,Japanese,,4627
92,American,"American, Fast Food",,55
93,French,French,,4896
94,Unknown,,,
95,Cafe,"Cafe, Fast Food, Street Food, Soups",Vegan Options,368
96,Steakhouse,Steakhouse,,257
97,Unknown,,,
98,Unknown,,,
99,Unknown,,,
100,Unknown,,,
101,Unknown,,,
102,Unknown,,,
103,Bar,"Bar, Cafe, Pub",,
104,Unknown,"Asian, Korean",,
105,Unknown,"Asian, Korean",,
106,Unknown,,,
107,Unknown,,,
108,Unknown,,,
109,Unknown,,,
110,Unknown,,,
111,Unknown,,,
112,Japanese,"Japanese, Grill",,
113,Steakhouse,Steakhouse,,
114,Japanese,"Japanese, Deli",,3429
115,Asian,Asian,,
116,Japanese,Japanese,,2447
117,Unknown,,,
118,Japanese,"Japanese, Dining bars",,
119,Steakhouse,"Steakhouse, Grill",,222
120,Cafe,Cafe,,
121,Japanese,"Japanese, Kaiseki, Japanese Fusion",,118
122,Cafe,"Cafe, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",
123,British,British,,4133
124,Unknown,,,
125,Italian,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options",504
126,Bakeries,"Italian, Cafe, Deli, Australian, Israeli",Vegetarian Friendly,169
127,Unknown,,,
128,Unknown,,,
129,Unknown,,,
130,Steakhouse,"Steakhouse, Asian, Korean",,87
131,Unknown,,,
132,Unknown,,,
133,Steakhouse,"Steakhouse, Asian, Korean",,55
134,Unknown,,,
135,Unknown,,,
136,Unknown,,,
137,Asian,"Asian, Thai","Vegetarian Friendly, Vegan Options",382
138,French,"French, Barbecue, Contemporary, Fusion, Diner",,4749
139,Dessert,,,
140,Mexican,"Mexican, Fast Food",,61
141,Lebanese,"Middle Eastern, Lebanese, Mediterranean",,221
142,Asian,"Asian, Korean",Vegetarian Friendly,586
143,Barbecue,"Barbecue, Asian, Korean, Grill",,73
144,Japanese,"Japanese, Seafood",,5446
145,Bakeries,French,,132
146,Unknown,,,
147,Dessert,,,
148,Unknown,,,
149,Unknown,,,
150,Unknown,,,
151,Unknown,,,
152,Unknown,,,
153,Unknown,,,
154,Unknown,,,
155,Unknown,,,
156,Unknown,,,
157,Unknown,,,
158,Unknown,,,
159,Unknown,,,
160,Unknown,,,
161,Unknown,,,
162,Unknown,,,
163,Unknown,,,
164,Unknown,,,
165,Unknown,,,
166,Unknown,,,
167,Unknown,,,
168,Unknown,,,
169,Unknown,,,
170,Unknown,,,
171,Unknown,,,
172,Unknown,,,
173,Unknown,,,
174,Unknown,,,
175,Unknown,,,
176,Unknown,,,
177,Unknown,"Asian, Korean",,
178,Unknown,,,
179,Bar,"Bar, Pub",Vegetarian Friendly,1964
180,European,"European, British",,328
181,Bar,"Bar, Cafe, Pub",,
182,British,British,,
183,Unknown,,,
184,Thai,"Thai, Vietnamese",,50
185,Asian,"Asian, Korean",,2661
186,Unknown,,,
187,Unknown,Cafe,,
188,Unknown,,,
189,Unknown,,,
190,Unknown,,,
191,Unknown,,,
192,Unknown,"Asian, Korean",,
193,Asian,"Asian, Korean",,1100
194,Unknown,,,
195,Unknown,,,
196,Unknown,,,
197,Unknown,Fast Food,,
198,Unknown,Fusion,,
199,Unknown,,,
200,Unknown,Fast Food,,
201,Unknown,Fast Food,,
202,Fast Food,Fast Food,,
203,Unknown,Fast Food,,
204,Unknown,Fast Food,,
205,Unknown,,,
206,Unknown,Fast Food,,
207,Unknown,Fusion,,
208,Unknown,,,
209,Unknown,,,
210,Unknown,,,
211,Unknown,,,
212,Unknown,,,
213,Unknown,,,
214,Pub,Pub,,184
215,Unknown,,,
