res_id,name,tel,rank
1,Pizza School,+82 2-372-1988,19149
2,Pujimi Tripes,,4600
3,Bangung,,2766
4,Donsoobaek - Gangnam Station Direct Store,+82 2-539-3132,1655
5,Pork Mo U,,18486
6,Bogeulring,+82 2-567-9991,26335
7,Pizza Hut,+82 2-744-5581,11917
8,Bokjeong Restaurant,,18544
9,Palri Hyang Lamb Skewers Grill,,11879
10,. Com Street Food,+82 2-2616-4048,5302
11,Arirang Ox Bone Soup Pork Back-Bone Stew,,11637
12,Alba Isin,,20738
13,2.5 Chicken Ribs,,7077
14,Al Village,,8965
15,The Piola,+82 2-2272-8808,
16,Hanyukgam - Gwanghwamun D-Tower,+82 2-2251-8686,1251
17,Bi and Di Seute Isyeon,,18228
18,Juyu Byeoljang D-Tower,+82 2-2251-8484,5693
19,Bar Restaurant Le 17,+33 1 40 25 20 20,14447
20,Patty Island,+44 20 7701 1555,11889
21,Dolce Crema,+44 20 8127 0988,5988
22,Bong Mountain House,,22621
23,Panella,+44 7467 496655,9043
24,Flunch,+33 1 40 29 09 78,
25,Le Bistrot,+33 1 45 75 00 58,13354
26,Le Four Du Marais,+33 9 87 71 03 06,
27,Le P'tit Bougnat,+33 1 47 63 97 11,4525
28,Katsutojiro,+81 6-6672-1026,10775
29,Maison Kaiser Kintetsu Abeno Harukas Wing,+81 6-6625-2712,
30,Tsuruichi Branch,+81 6-6771-0806,7895
31,Chang noi Thai Restaurant,+81 6-7220-9960,5813
32,Kyobashi Suina,+81 6-6881-7545,
33,Hwarangdae Tripes,,13010
34,Banwol Monkfish Steamed Dish,,
35,Paen China,,11765
36,Old Days Mung-Bean Pancake,,1546
37,Bamboo House,+82 2-566-0870,
38,Pyeongyang Cold Buckwheat Noodles,+82 2-965-8254,5354
39,Idiya Coffee,,
40,Ullanbatareu,+82 2-2285-3288,16913
41,Palchil Korean Style Sweet and Sour Chicken,+82 2-2060-6692,11891
42,BBQ Gonghang,+82 2-2662-2422,8130
43,Banpo Sikseu,+82 2-2654-7911,14665
44,Old Days Farm,,11015
45,Baekseol Princess,+82 2-363-1500,19955
46,Beoljip Samgyeopsal Siheungyeok,+82 2-6404-5541,22142
47,Huge Cheu,,4007
48,Blue Tile Blowfish Restaurant,+82 2-2232-5688,14088
49,Bongchu Braised Spicy Chicken With Vegetables,+82 2-785-6981,6990
50,Restaurante e Choperia Dos Mineiros,,16843
51,Pancake Nong Tripes Sing,+82 2-2248-6191,14763
52,Myeongdong Samgyetang,,20124
53,Duda Bomboniere,,13948
54,Trianno,,4056
55,Torta no Quintal,5.51E+11,205
56,Comme au Vietnam,+33 9 80 33 17 93,
57,Pastelaria e Mercearia S & S,,10591
58,Lanches Vanda,,15322
59,Bar Do Ligeirinho,,15612
60,Naka Sushi Pinheiros,+55 11 3081-8730,8506
61,Don Gordao,,7608
62,Fogo na Hora,1142621889,7947
63,Esfiha Abraao,,5636
64,Al Mahachi,+55 11 2729-6875,4487
65,Minmul Jangeo Jigpanjang Jangeo Sesang,+82 2-394-1005,4836
66,Daeseongjip,+82 2-923-1718,11054
67,Awesome Charcoal Fire Ribs,+82 2-521-9580,19779
68,Mr. Kim's Gimbap,+82 2-858-7989,14948
69,Double Double,+82 2-3141-0034,7648
70,Baskin-Robbins Eunma Sa-geori Store,+82 2-555-0052,22774
71,Pesta Mare Konkuk University,+82 2-497-9982,15255
72,Best Raw Meat,+82 2-2295-6566,2808
73,O Jen,,7625
74,Pizza Hut,+82 2-496-6052,22774
75,Offset Coffee,+82 70-8790-2650,
76,Yetgoltoseong Yeoksam,+82 2-557-9985,13443
77,Pourtoi,+82 2-334-3067,
78,Saap,+82 10-5101-8666,26448
79,Aeni Square,+82 2-323-5370,20545
80,Nudeul Box,+82 2-332-8952,7440
81,Han's Deli Jongno,+82 2-725-3423,1440
82,Waffle Ban Teu,,9950
83,Waffle Ban Teu,,7786
84,Hongkong Chinese Restaurant 0410,+82 2-738-0410,25683
85,Hiba Chi Ya,+82 2-532-4333,12401
86,Moon Hyang,,
87,Rancho Da Empada,,5280
88,Cheongnyeon Daktang,+82 2-6052-1927,15795
89,"Twosome Place Apgujeong, - CLOSED",+82 2-3442-2388,
90,Kentucky Fried Chicken Daily Kanart Tenkachaya,+81 6-4398-5699,4786
91,Fukumi,+81 6-6327-6300,10775
92,Kentucky Fried Chicken Kamihonmachi,+81 6-4304-5922,3370
93,O/hp/e,+33 1 42 41 58 16,9129
94,YAKICHO,+33 1 43 21 69 51,11512
95,Bagelstein,+33 1 42 71 06 66,6330
96,Restaurante Madero,+55 11 3595-9089,10733
97,Al Cheonse Dduri,,18037
98,Quiznos,+82 2-2143-1761,16206
99,Old Days Farm,,17549
100,Board Ram Chicken,+82 2-924-3392,11808
101,A Maseu Bean Bubble Ti,,10359
102,59Nyeong Ddong Pig,,16225
103,Cafe Bot,+82 2-499-9219,
104,Geobugijib,+82 2-322-8018,5932
105,Hanyang Jokbal,+82 2-711-4474,22774
106,Pigsy Tripes,,20257
107,Mt. Nam King Pigs' Feet,,11022
108,Rachio,,17986
109,Pomonseu,+82 2-544-7963,20004
110,Original Jongjeom,,6741
111,24 Hour Jjajang Udong,+82 2-865-6785,20175
112,Yakiniku Hormon Kadoya Taisho Ekimae,+81 6-6553-1129,
113,Denver Premium Aeon Mall Tsurumi Ryokuchi,+81 6-6926-9039,
114,Orijin Delica Foodium Dojima,+81 6-4256-7502,8097
115,"Ramen Yamanoi, - CLOSED",+81 6-6795-9069,
116,Yakkodako,+81 6-4393-1151,5805
117,Domino's Pizza Shitennoji,+81 6-6776-8866,8084
118,Chayamachi Kanna,+81 6-6373-1587,
119,Bifukutekiju Ushi-no Fuku,+81 50-3469-2154,8654
120,Amato Cafe Kikusui,+81 6-6358-4567,
121,Zenen Nishi Umeda,+81 6-6457-1002,203
122,49 Cafe,+44 20 3538 3474,
123,The Horse and Groom,+44 20 7503 9421,14993
124,Toreore Songpaseokchon,+82 2-412-8942,15054
125,Casa Bardotti West Ken,+44 20 3583 3400,2788
126,Margot Bakery,+44 20 8883 6742,
127,Chun Mountain,,15312
128,Chung Jeong Restaurant,+82 2-313-0424,13343
129,Hakrim Coffee,,
130,TOKYO SIRLOIN Cheongdam,+82 2-514-2260,4202
131,Artisan Bakers Beta,+82 2-558-5559,
132,Toreore - Seongsu Station,+82 2-481-5554,15289
133,TOKYO SIRLOIN Yeouido,+82 2-782-2260,1494
134,Khaosan,+82 2-790-7029,2074
135,Yakitori Koshun,+82 10-6220-8729,
136,Sushi Hiro,+33 9 83 49 92 14,13256
137,Thai Vien 2,+33 1 45 85 00 06,2970
138,La Bonne Ecole,+33 1 42 52 00 88,8722
139,Tutti Sensi,+33 1 42 23 91 58,
140,Tito Burritos,+33 9 73 56 98 06,8853
141,Anis,+33 1 47 63 57 23,12777
142,hangari,+33 1 44 50 44 50,4290
143,Restaurant KWON,+33 1 45 41 71 55,5347
144,Tsudoi Umeda,+81 6-6311-0111,12755
145,Une Idee De Dessert,+33 1 47 34 94 71,
146,Old Days Mapo Ribs,+82 2-964-7600,20606
147,Pop’n Fruit Cafe,+81 6-6312-8200,
148,Mu Bwat Na Chon Chicken,,12851
149,Pa Nakseu,,
150,Bon Village Chicken,+82 2-543-9252,14159
151,Palsaek Pork Belly,+82 2-535-1696,18724
152,Airisi Potato,,8868
153,I Gong Chil Gong Saeng Rice Wine,+82 2-964-2070,22774
154,A Maseu Bean,+82 2-393-1598,1978
155,Nowon Silbeo Cafe,,8552
156,Ok Aunt Old Days Kkaetip Rice Cake Boki,,5781
157,Aesyulri,+82 2-2157-5731,7466
158,Ogada,+82 2-6456-8773,14044
159,Oga and,,11679
160,Bones Hangover Cure Soup Pork Back-Bone Stew,,22774
161,Beijing Won,+82 2-319-2009,4744
162,Pub Pi Mac,+82 2-2061-2620,6794
163,Pul Geu Raundeu,+82 2-322-3999,10391
164,A Rumi,,13762
165,Pyeongyang Chogye Stew Buckwheat Noodles,+82 2-388-2977,
166,Original King Pigs' Feet Bossam,,17438
