Review_ID,review_number,review_date,review_ratings,reviews.title
1,1,2018-09-10T21:06:27Z,,Best romantic vacation ever!!!!
2,3,2018-09-10T21:06:27Z,,Sweet sweet serenity
3,5,2018-09-10T21:06:27Z,,Amazing Property and Experience
4,7,2018-09-10T21:06:16Z,,"Never again...beware, if you want sleep."
5,1,2018-09-10T21:06:16Z,,ALWAYS GREAT STAY...
6,2,2018-09-10T21:06:16Z,,Wonderful stay
7,2,2018-09-10T21:06:16Z,,Worth the money
8,3,2018-09-10T21:06:16Z,,Great Hotel Experiece!
9,1,2018-09-10T21:06:16Z,,Short stay for business.
10,4,2018-09-10T21:06:09Z,,Amazing employees and facilities
11,1,2018-09-10T21:06:09Z,,I loved our stay here
12,1,2018-09-10T21:06:09Z,"5,4.5,4.5,3.5,4.5,5,4.5,4.5,4.5,4.5,4.5,4.5",Hampton Inn - Vancouver WA
13,2,2018-09-10T21:06:09Z,,Perfection
14,3,2018-09-10T21:06:09Z,,Good hotel. Worth checking out.
15,2,2018-09-10T21:06:09Z,,Excellent!
16,12,2018-09-10T21:05:27Z,"4.5,4.5,3.5,4,4.5,4.5,4,4,4.5,4,4,4",Very pleased
17,1,2018-09-10T21:05:27Z,,Excellent Stay
18,6,2018-09-10T21:05:27Z,,Beautiful lobby but rooms need help
19,3,2018-09-10T21:05:27Z,"3.5,2.5,4.5,2.5,4.5,4,4.5,4,4.5,4,4,4",Hotel's 1920s charm and elegance remain fresh
20,2,2018-09-10T21:05:27Z,"4.5,2.5,2.5,4,4.5,4,4.5,4,5,4,4.5,5",Excellent stay
21,22,2018-09-10T21:03:17Z,"5,4.5,4,4.5,4.5,4,4.5,4,4,4.5,4,5","Thank you, Garth Brooks!"
22,4,2018-09-10T21:03:05Z,"4.5,4.5,4,3.5,4.5,4.5,4,4,4.5,4.5,4,4",Extended stay
23,12,2018-09-10T21:02:30Z,"4,2.5,4,2.5,4.5,4.5,4.5,4.5,5,4,4.5,4.5","Convenient, cute and moderately comfrotable"
24,579,2018-09-10T21:02:30Z,"4,4.5,3.5,4,4.5,4.5,4,4.5,4.5,4,4.5,4",Perfectly fine hotel for a visit to SF
25,1,2018-09-10T21:02:30Z,"4.5,3,3,4,4.5,4.5,4.5,4,4.5,4,4.5,4",Great Staff!
26,2,2018-09-10T21:02:30Z,"4.5,4.5,4.5,4,4.5,4.5,4,4,4.5,4,4.5,3.5","Not so good, not so bad"
27,322,2018-09-10T21:02:24Z,"3,4.5,3.5,4,4.5,4.5,4,4,4.5,4.5,4.5,4",DO NOT stay here!!!!!!!!!!!
28,1,2018-09-10T21:02:24Z,"3.5,3.5,3.5,3.5,5,4.5,4,4,4",Filthy hotel and crooked people who own it!
29,6,2018-09-10T21:02:11Z,"4.5,4,4,3,4,4,4.5,4,4,4,4,4",THE DC TRIP
30,5,2018-09-10T21:02:11Z,"4,4.5,3,4,4,4,4.5,3.5,4,4,4,3.5",Nice location
31,1,2018-09-10T21:02:11Z,"2.5,4,3.5,4,4,3,3,1,1",Hampton Inn
32,0,2018-09-10T21:02:11Z,"3,4,4,3,4,3.5,4,4,3.5,3.5,3.5,3.5",Gracious and helpful staff
33,1,2018-09-10T21:02:11Z,,"beautiful, convenient location"
34,0,2018-09-10T21:02:11Z,,great!!!!!!
35,1,2018-09-10T21:02:11Z,,Awesome Stay
36,7,2018-09-10T21:02:11Z,,Reasonable price for exceptional hotel
37,43,2018-09-10T21:02:11Z,"4.5,3.5,3.5,3.5,5,4.5,4,4,4.5,4.5,4",Excellent!
38,4,2018-09-10T21:02:11Z,"3,4,3.5,2,4.5,4.5,4.5,4,4.5,4.5,4.5,4.5",Great Room
39,1,2018-09-10T21:02:11Z,,GREAT LOCATION
40,1,2018-09-10T21:02:11Z,,great stay
41,1,2018-09-10T21:02:11Z,,Best
42,2,2018-09-10T21:02:11Z,,Easter Get Away
43,1,2018-09-10T21:02:11Z,,Hampton inn
44,2,2018-09-10T21:02:11Z,,Overall it was good but AC sucks!!
45,1,2018-09-10T21:02:11Z,,Extremely comfortable
46,1,2018-09-10T21:02:11Z,,TV sucks
47,8,2018-09-10T21:02:11Z,"4.5,4,4.5,4,4,4,4,4,4.5,4.5,4.5,4",Will definately stay there again
48,1,2018-09-10T21:02:11Z,,Great conference stay
49,3,2018-09-10T21:02:11Z,,Nice
50,2,2018-09-10T21:02:11Z,"3,3,4.5,4,4.5,4,4,5",More than Expected
51,1,2018-09-10T21:02:11Z,,Conference stay
52,2,2018-09-10T21:02:11Z,,Amazing!
53,1,2018-09-10T21:02:11Z,"2.5,2.5,3,4.5,4,3.5,4,2.5,5",Happy in Texas.
54,13,2018-09-10T21:02:11Z,"4,3.5,4.5,4,4,4,4,4,4.5,4,4,4.5","Great staff, great breakfast, great experience"
55,262,2018-09-10T21:02:11Z,"4,4,4,4,4.5,4,5,3,4,3,4",Great hotel
56,774,2018-09-10T21:02:11Z,"3.5,3.5,4,3,4.5,4,4,4,4.5,3.5,4.5",Good hotel
57,3,2018-09-10T21:02:11Z,"4,3.5,3,3.5,4.5,4,3.5,3.5,3",Affordable premium lodging
58,1,2018-09-10T21:02:11Z,"4,3,4,4,4.5,4.5,5,4","Friendly staff, large clean room."
59,2,2018-09-10T21:02:11Z,"3.5,4,3.5,3.5,4.5,4.5,4.5,4,4.5,4,4,4",Good place to Stay
60,10,2018-09-10T21:02:10Z,"4,4,2,3.5,4.5,4,4,4,4.5,4.5,4.5,4.5",Hosted Client Event
61,4,2018-09-10T21:02:10Z,"3,4,4,4,4.5,4,4.5,5",Splendid
62,2,2018-09-10T21:02:10Z,"3.5,3.5,4,4,4,4.5,4,4,4.5,4.5,4.5,4",Perfect start to the honeymoon
63,12,2018-09-10T21:02:10Z,"2,3.5,4,4,4.5,4.5,4,4.5,3.5,4,5",Best hotel in the country!
64,51,2018-09-10T21:02:10Z,"4,4,4,3,4.5,4,4,4.5,4.5,4.5,3.5,3",Truly a grand experience
